time,Total gas used
2024-11-22 00:00,6227.101
2024-11-22 00:15,6227.101
2024-11-22 00:30,6227.135
2024-11-22 00:45,6227.213
2024-11-22 01:00,6227.267
2024-11-22 01:15,6227.304
2024-11-22 01:30,6227.420
2024-11-22 01:45,6227.465
2024-11-22 02:00,6227.465
2024-11-22 02:15,6227.582
2024-11-22 02:30,6227.665
2024-11-22 02:45,6227.665
2024-11-22 03:00,6227.725
2024-11-22 03:15,6227.862
2024-11-22 03:30,6227.882
2024-11-22 03:45,6227.882
2024-11-22 04:00,6228.029
2024-11-22 04:15,6228.078
2024-11-22 04:30,6228.078
2024-11-22 04:45,6228.198
2024-11-22 05:00,6228.272
2024-11-22 05:15,6228.272
2024-11-22 05:30,6228.386
2024-11-22 05:45,6228.463
2024-11-22 06:00,6228.463
2024-11-22 06:15,6228.559
2024-11-22 06:30,6228.613
2024-11-22 06:45,6228.627
2024-11-22 07:00,6228.777
2024-11-22 07:15,6228.849
2024-11-22 07:30,6228.850
2024-11-22 07:45,6229.171
2024-11-22 08:00,6229.171
2024-11-22 08:15,6229.171
2024-11-22 08:30,6229.282
2024-11-22 08:45,6229.462
2024-11-22 09:00,6229.469
2024-11-22 09:15,6229.650
2024-11-22 09:30,6229.659
2024-11-22 09:45,6229.730
2024-11-22 10:00,6229.867
2024-11-22 10:15,6229.867
2024-11-22 10:30,6229.920
2024-11-22 10:45,6230.089
2024-11-22 11:00,6230.089
2024-11-22 11:15,6230.089
2024-11-22 11:30,6230.303
2024-11-22 11:45,6230.308
2024-11-22 12:00,6230.308
2024-11-22 12:15,6230.348
2024-11-22 12:30,6230.442
2024-11-22 12:45,6230.498
2024-11-22 13:00,6230.553
2024-11-22 13:15,6230.613
2024-11-22 13:30,6230.664
2024-11-22 13:45,6230.772
2024-11-22 14:00,6230.921
2024-11-22 14:15,6230.951
2024-11-22 14:30,6230.972
2024-11-22 14:45,6231.082
2024-11-22 15:00,6231.181
2024-11-22 15:15,6231.195
2024-11-22 15:30,6231.228
2024-11-22 15:45,6231.289
