time,Total gas used
2025-02-01 00:00,6693.164
2025-02-01 00:15,6693.186
2025-02-01 00:30,6693.186
2025-02-01 00:45,6693.223
2025-02-01 01:00,6693.292
2025-02-01 01:15,6693.426
2025-02-01 01:30,6693.442
2025-02-01 01:45,6693.462
2025-02-01 02:00,6693.587
2025-02-01 02:15,6693.655
2025-02-01 02:30,6693.677
2025-02-01 02:45,6693.726
2025-02-01 03:00,6693.839
2025-02-01 03:15,6693.939
2025-02-01 03:30,6693.939
2025-02-01 03:45,6693.960
2025-02-01 04:00,6694.078
2025-02-01 04:15,6694.172
2025-02-01 04:30,6694.186
2025-02-01 04:45,6694.214
2025-02-01 05:00,6694.377
2025-02-01 05:15,6694.438
2025-02-01 05:30,6694.441
2025-02-01 05:45,6694.546
2025-02-01 06:00,6694.638
2025-02-01 06:15,6694.676
2025-02-01 06:30,6694.700
2025-02-01 06:45,6694.874
2025-02-01 07:00,6694.942
2025-02-01 07:15,6694.942
2025-02-01 07:30,6695.048
2025-02-01 07:45,6695.116
2025-02-01 08:00,6695.193
2025-02-01 08:15,6695.273
2025-02-01 08:30,6695.393
2025-02-01 08:45,6695.393
2025-02-01 09:00,6695.527
2025-02-01 09:15,6695.658
2025-02-01 09:30,6695.668
2025-02-01 09:45,6695.814
2025-02-01 10:00,6695.920
2025-02-01 10:15,6696.215
2025-02-01 10:30,6696.241
2025-02-01 10:45,6696.244
2025-02-01 11:00,6696.278
2025-02-01 11:15,6696.622
2025-02-01 11:30,6696.622
2025-02-01 11:45,6696.622
2025-02-01 12:00,6696.729
2025-02-01 12:15,6696.862
2025-02-01 12:30,6696.862
2025-02-01 12:45,6697.023
2025-02-01 13:00,6697.117
2025-02-01 13:15,6697.142
2025-02-01 13:30,6697.204
2025-02-01 13:45,6697.274
2025-02-01 14:00,6697.379
2025-02-01 14:15,6697.522
2025-02-01 14:30,6697.530
2025-02-01 14:45,6697.540
2025-02-01 15:00,6697.627
2025-02-01 15:15,6697.684
2025-02-01 15:30,6697.742
2025-02-01 15:45,6697.809
2025-02-01 16:00,6697.891
2025-02-01 16:15,6697.953
2025-02-01 16:30,6698.025
2025-02-01 16:45,6698.159
2025-02-01 17:00,6698.177
2025-02-01 17:15,6698.239
2025-02-01 17:30,6698.398
2025-02-01 17:45,6698.456
2025-02-01 18:00,6698.466
2025-02-01 18:15,6698.635
2025-02-01 18:30,6698.709
2025-02-01 18:45,6698.738
2025-02-01 19:00,6698.922
2025-02-01 19:15,6698.984
2025-02-01 19:30,6699.009
2025-02-01 19:45,6699.135
2025-02-01 20:00,6699.227
2025-02-01 20:15,6699.265
2025-02-01 20:30,6699.326
2025-02-01 20:45,6699.480
2025-02-01 21:00,6699.544
2025-02-01 21:15,6699.803
2025-02-01 21:30,6699.803
2025-02-01 21:45,6699.803
2025-02-01 22:00,6699.803
2025-02-01 22:15,6700.005
2025-02-01 22:30,6700.061
2025-02-01 22:45,6700.095
2025-02-01 23:00,6700.101
2025-02-01 23:15,6700.239
2025-02-01 23:30,6700.320
2025-02-01 23:45,6700.320
2025-02-02 00:00,6700.457
2025-02-02 00:15,6700.612
2025-02-02 00:30,6700.649
2025-02-02 00:45,6700.649
2025-02-02 01:00,6700.743
2025-02-02 01:15,6700.811
2025-02-02 01:30,6700.895
2025-02-02 01:45,6700.996
2025-02-02 02:00,6701.017
2025-02-02 02:15,6701.056
2025-02-02 02:30,6701.088
2025-02-02 02:45,6701.249
2025-02-02 03:00,6701.276
2025-02-02 03:15,6701.306
2025-02-02 03:30,6701.443
2025-02-02 03:45,6701.490
2025-02-02 04:00,6701.520
2025-02-02 04:15,6701.565
2025-02-02 04:30,6701.738
2025-02-02 04:45,6701.738
2025-02-02 05:00,6701.783
2025-02-02 05:15,6701.960
2025-02-02 05:30,6701.981
2025-02-02 05:45,6701.981
2025-02-02 06:00,6702.107
2025-02-02 06:15,6702.182
2025-02-02 06:30,6702.274
2025-02-02 06:45,6702.353
2025-02-02 07:00,6702.436
2025-02-02 07:15,6702.499
2025-02-02 07:30,6702.551
2025-02-02 07:45,6702.622
2025-02-02 08:00,6702.702
2025-02-02 08:15,6702.786
2025-02-02 08:30,6702.860
2025-02-02 08:45,6702.925
2025-02-02 09:00,6702.999
2025-02-02 09:15,6703.091
2025-02-02 09:30,6703.184
2025-02-02 09:45,6703.268
2025-02-02 10:00,6703.317
2025-02-02 10:15,6703.641
2025-02-02 10:30,6703.690
2025-02-02 10:45,6703.793
2025-02-02 11:00,6703.887
2025-02-02 11:15,6704.052
2025-02-02 11:30,6704.062
2025-02-02 11:45,6704.142
2025-02-02 12:00,6704.236
2025-02-02 12:15,6704.366
2025-02-02 12:30,6704.474
2025-02-02 12:45,6704.474
2025-02-02 13:00,6704.676
2025-02-02 13:15,6704.778
2025-02-02 13:30,6704.819
2025-02-02 13:45,6704.871
2025-02-02 14:00,6705.074
2025-02-02 14:15,6705.092
2025-02-02 14:30,6705.123
2025-02-02 14:45,6705.299
2025-02-02 15:00,6705.406
2025-02-02 15:15,6705.406
