time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2025-02-01 00:00,12572.353,9862.438,0.000,0.000
2025-02-01 00:15,12572.485,9862.438,0.000,0.000
2025-02-01 00:30,12572.574,9862.438,0.000,0.000
2025-02-01 00:45,12572.649,9862.438,0.000,0.000
2025-02-01 01:00,12572.709,9862.438,0.000,0.000
2025-02-01 01:15,12572.761,9862.438,0.000,0.000
2025-02-01 01:30,12572.902,9862.438,0.000,0.000
2025-02-01 01:45,12572.968,9862.438,0.000,0.000
2025-02-01 02:00,12573.025,9862.438,0.000,0.000
2025-02-01 02:15,12573.074,9862.438,0.000,0.000
2025-02-01 02:30,12573.123,9862.438,0.000,0.000
2025-02-01 02:45,12573.183,9862.438,0.000,0.000
2025-02-01 03:00,12573.309,9862.438,0.000,0.000
2025-02-01 03:15,12573.354,9862.438,0.000,0.000
2025-02-01 03:30,12573.399,9862.438,0.000,0.000
2025-02-01 03:45,12573.460,9862.438,0.000,0.000
2025-02-01 04:00,12573.523,9862.438,0.000,0.000
2025-02-01 04:15,12573.577,9862.438,0.000,0.000
2025-02-01 04:30,12573.708,9862.438,0.000,0.000
2025-02-01 04:45,12573.761,9862.438,0.000,0.000
2025-02-01 05:00,12573.819,9862.438,0.000,0.000
2025-02-01 05:15,12573.863,9862.438,0.000,0.000
2025-02-01 05:30,12573.906,9862.438,0.000,0.000
2025-02-01 05:45,12573.953,9862.438,0.000,0.000
2025-02-01 06:00,12574.095,9862.438,0.000,0.000
2025-02-01 06:15,12574.142,9862.438,0.000,0.000
2025-02-01 06:30,12574.197,9862.438,0.000,0.000
2025-02-01 06:45,12574.251,9862.438,0.000,0.000
2025-02-01 07:00,12574.320,9862.438,0.000,0.000
2025-02-01 07:15,12574.408,9862.438,0.000,0.000
2025-02-01 07:30,12574.491,9862.438,0.000,0.000
2025-02-01 07:45,12574.532,9862.438,0.000,0.000
2025-02-01 08:00,12574.587,9862.438,0.000,0.000
2025-02-01 08:15,12574.643,9862.438,0.000,0.000
2025-02-01 08:30,12574.898,9862.438,0.000,0.000
2025-02-01 08:45,12574.971,9862.438,0.000,0.000
2025-02-01 09:00,12575.049,9862.438,0.000,0.000
2025-02-01 09:15,12575.200,9862.438,0.000,0.000
2025-02-01 09:30,12575.249,9862.438,0.000,0.000
2025-02-01 09:45,12575.301,9862.438,0.000,0.000
2025-02-01 10:00,12575.365,9862.438,0.000,0.000
2025-02-01 10:15,12575.649,9862.438,0.000,0.000
2025-02-01 10:30,12575.711,9862.438,0.000,0.000
2025-02-01 10:45,12575.876,9862.438,0.000,0.000
2025-02-01 11:00,12576.113,9862.438,0.000,0.000
2025-02-01 11:15,12576.177,9862.438,0.000,0.000
2025-02-01 11:30,12576.245,9862.438,0.000,0.000
2025-02-01 11:45,12576.293,9862.438,0.000,0.000
2025-02-01 12:00,12576.338,9862.438,0.000,0.000
2025-02-01 12:15,12576.382,9862.438,0.000,0.000
2025-02-01 12:30,12576.499,9862.438,0.000,0.000
2025-02-01 12:45,12576.546,9862.438,0.000,0.000
2025-02-01 13:00,12576.591,9862.438,0.000,0.000
2025-02-01 13:15,12576.764,9862.438,0.000,0.000
2025-02-01 13:30,12576.924,9862.438,0.000,0.000
2025-02-01 13:45,12577.028,9862.438,0.000,0.000
2025-02-01 14:00,12577.323,9862.438,0.000,0.000
2025-02-01 14:15,12577.537,9862.438,0.000,0.000
2025-02-01 14:30,12578.124,9862.438,0.000,0.000
2025-02-01 14:45,12578.328,9862.438,0.000,0.000
2025-02-01 15:00,12578.410,9862.438,0.000,0.000
2025-02-01 15:15,12578.565,9862.438,0.000,0.000
2025-02-01 15:30,12578.641,9862.438,0.000,0.000
