time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2024-11-22 00:00,12112.972,9504.564,0.000,0.000
2024-11-22 00:15,12113.032,9504.564,0.000,0.000
2024-11-22 00:30,12113.074,9504.564,0.000,0.000
2024-11-22 00:45,12113.119,9504.564,0.000,0.000
2024-11-22 01:00,12113.173,9504.564,0.000,0.000
2024-11-22 01:15,12113.236,9504.564,0.000,0.000
2024-11-22 01:30,12113.283,9504.564,0.000,0.000
2024-11-22 01:45,12113.332,9504.564,0.000,0.000
2024-11-22 02:00,12113.374,9504.564,0.000,0.000
2024-11-22 02:15,12113.528,9504.564,0.000,0.000
2024-11-22 02:30,12113.568,9504.564,0.000,0.000
2024-11-22 02:45,12113.605,9504.564,0.000,0.000
2024-11-22 03:00,12113.640,9504.564,0.000,0.000
2024-11-22 03:15,12113.691,9504.564,0.000,0.000
2024-11-22 03:30,12113.737,9504.564,0.000,0.000
2024-11-22 03:45,12113.867,9504.564,0.000,0.000
2024-11-22 04:00,12113.913,9504.564,0.000,0.000
2024-11-22 04:15,12113.962,9504.564,0.000,0.000
2024-11-22 04:30,12114.012,9504.564,0.000,0.000
2024-11-22 04:45,12114.050,9504.564,0.000,0.000
2024-11-22 05:00,12114.091,9504.564,0.000,0.000
2024-11-22 05:15,12114.212,9504.564,0.000,0.000
2024-11-22 05:30,12114.265,9504.564,0.000,0.000
2024-11-22 05:45,12114.312,9504.564,0.000,0.000
2024-11-22 06:00,12114.359,9504.564,0.000,0.000
2024-11-22 06:15,12114.563,9504.564,0.000,0.000
2024-11-22 06:30,12114.789,9504.564,0.000,0.000
2024-11-22 06:45,12114.867,9504.564,0.000,0.000
2024-11-22 07:00,12114.916,9504.565,0.000,0.000
2024-11-22 07:15,12114.916,9504.681,0.000,0.000
2024-11-22 07:30,12114.916,9504.736,0.000,0.000
2024-11-22 07:45,12114.916,9504.809,0.000,0.000
2024-11-22 08:00,12114.916,9504.859,0.000,0.000
2024-11-22 08:15,12114.916,9504.914,0.000,0.000
2024-11-22 08:30,12114.916,9504.986,0.000,0.000
2024-11-22 08:45,12114.916,9505.068,0.000,0.000
2024-11-22 09:00,12114.916,9505.282,0.000,0.000
2024-11-22 09:15,12114.916,9505.365,0.000,0.000
2024-11-22 09:30,12114.916,9505.559,0.000,0.000
2024-11-22 09:45,12114.916,9505.702,0.000,0.000
2024-11-22 10:00,12114.916,9505.788,0.000,0.000
