time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2024-08-01 00:00,11504.892,8988.706,0.000,0.000
2024-08-01 00:15,11504.922,8988.706,0.000,0.000
2024-08-01 00:30,11504.955,8988.706,0.000,0.000
2024-08-01 00:45,11504.972,8988.706,0.000,0.000
2024-08-01 01:00,11504.991,8988.706,0.000,0.000
2024-08-01 01:15,11505.027,8988.706,0.000,0.000
2024-08-01 01:30,11505.062,8988.706,0.000,0.000
2024-08-01 01:45,11505.090,8988.706,0.000,0.000
2024-08-01 02:00,11505.125,8988.706,0.000,0.000
2024-08-01 02:15,11505.170,8988.706,0.000,0.000
2024-08-01 02:30,11505.202,8988.706,0.000,0.000
2024-08-01 02:45,11505.222,8988.706,0.000,0.000
2024-08-01 03:00,11505.250,8988.706,0.000,0.000
2024-08-01 03:15,11505.284,8988.706,0.000,0.000
2024-08-01 03:30,11505.302,8988.706,0.000,0.000
2024-08-01 03:45,11505.320,8988.706,0.000,0.000
2024-08-01 04:00,11505.357,8988.706,0.000,0.000
2024-08-01 04:15,11505.398,8988.706,0.000,0.000
2024-08-01 04:30,11505.427,8988.706,0.000,0.000
2024-08-01 04:45,11505.455,8988.706,0.000,0.000
2024-08-01 05:00,11505.502,8988.706,0.000,0.000
2024-08-01 05:15,11505.533,8988.706,0.000,0.000
2024-08-01 05:30,11505.551,8988.706,0.000,0.000
2024-08-01 05:45,11505.573,8988.706,0.000,0.000
2024-08-01 06:00,11505.609,8988.706,0.000,0.000
2024-08-01 06:15,11505.629,8988.706,0.000,0.000
2024-08-01 06:30,11505.650,8988.706,0.000,0.000
2024-08-01 06:45,11505.689,8988.706,0.000,0.000
2024-08-01 07:00,11505.733,8988.707,0.000,0.000
2024-08-01 07:15,11505.733,8988.735,0.000,0.000
2024-08-01 07:30,11505.733,8988.763,0.000,0.000
2024-08-01 07:45,11505.733,8988.800,0.000,0.000
2024-08-01 08:00,11505.733,8988.831,0.000,0.000
2024-08-01 08:15,11505.733,8988.851,0.000,0.000
2024-08-01 08:30,11505.733,8988.876,0.000,0.000
2024-08-01 08:45,11505.733,8988.913,0.000,0.000
2024-08-01 09:00,11505.733,8988.941,0.000,0.000
2024-08-01 09:15,11505.733,8988.972,0.000,0.000
2024-08-01 09:30,11505.733,8989.014,0.000,0.000
2024-08-01 09:45,11505.733,8989.060,0.000,0.000
2024-08-01 10:00,11505.733,8989.092,0.000,0.000
2024-08-01 10:15,11505.733,8989.114,0.000,0.000
2024-08-01 10:30,11505.733,8989.153,0.000,0.000
2024-08-01 10:45,11505.733,8989.181,0.000,0.000
2024-08-01 11:00,11505.733,8989.201,0.000,0.000
2024-08-01 11:15,11505.733,8989.224,0.000,0.000
2024-08-01 11:30,11505.733,8989.269,0.000,0.000
2024-08-01 11:45,11505.733,8989.304,0.000,0.000
2024-08-01 12:00,11505.733,8989.334,0.000,0.000
2024-08-01 12:15,11505.733,8989.374,0.000,0.000
2024-08-01 12:30,11505.733,8989.422,0.000,0.000
2024-08-01 12:45,11505.733,8989.443,0.000,0.000
2024-08-01 13:00,11505.733,8989.462,0.000,0.000
2024-08-01 13:15,11505.733,8989.496,0.000,0.000
2024-08-01 13:30,11505.733,8989.528,0.000,0.000
2024-08-01 13:45,11505.733,8989.548,0.000,0.000
2024-08-01 14:00,11505.733,8989.574,0.000,0.000
2024-08-01 14:15,11505.733,8989.625,0.000,0.000
2024-08-01 14:30,11505.733,8989.664,0.000,0.000
2024-08-01 14:45,11505.733,8989.695,0.000,0.000
2024-08-01 15:00,11505.733,8989.730,0.000,0.000
2024-08-01 15:15,11505.733,8989.772,0.000,0.000
2024-08-01 15:30,11505.733,8989.796,0.000,0.000
2024-08-01 15:45,11505.733,8989.817,0.000,0.000
2024-08-01 16:00,11505.733,8989.846,0.000,0.000
2024-08-01 16:15,11505.733,8989.881,0.000,0.000
2024-08-01 16:30,11505.733,8989.908,0.000,0.000
2024-08-01 16:45,11505.733,8989.939,0.000,0.000
2024-08-01 17:00,11505.733,8989.984,0.000,0.000
2024-08-01 17:15,11505.733,8990.026,0.000,0.000
2024-08-01 17:30,11505.733,8990.057,0.000,0.000
2024-08-01 17:45,11505.733,8990.086,0.000,0.000
2024-08-01 18:00,11505.733,8990.124,0.000,0.000
2024-08-01 18:15,11505.733,8990.151,0.000,0.000
2024-08-01 18:30,11505.733,8990.172,0.000,0.000
2024-08-01 18:45,11505.733,8990.197,0.000,0.000
2024-08-01 19:00,11505.733,8990.237,0.000,0.000
2024-08-01 19:15,11505.733,8990.268,0.000,0.000
2024-08-01 19:30,11505.733,8990.300,0.000,0.000
2024-08-01 19:45,11505.733,8990.341,0.000,0.000
2024-08-01 20:00,11505.733,8990.388,0.000,0.000
2024-08-01 20:15,11505.733,8990.417,0.000,0.000
2024-08-01 20:30,11505.733,8990.440,0.000,0.000
2024-08-01 20:45,11505.733,8990.474,0.000,0.000
2024-08-01 21:00,11505.734,8990.505,0.000,0.000
2024-08-01 21:15,11505.753,8990.505,0.000,0.000
2024-08-01 21:30,11505.774,8990.505,0.000,0.000
2024-08-01 21:45,11505.818,8990.505,0.000,0.000
2024-08-01 22:00,11505.860,8990.505,0.000,0.000
2024-08-01 22:15,11505.929,8990.505,0.000,0.000
2024-08-01 22:30,11505.964,8990.505,0.000,0.000
2024-08-01 22:45,11506.012,8990.505,0.000,0.000
2024-08-01 23:00,11506.055,8990.505,0.000,0.000
2024-08-01 23:15,11506.093,8990.505,0.000,0.000
2024-08-01 23:30,11506.116,8990.505,0.000,0.000
2024-08-01 23:45,11506.136,8990.505,0.000,0.000
2024-08-02 00:00,11506.173,8990.505,0.000,0.000
2024-08-02 00:15,11506.206,8990.505,0.000,0.000
2024-08-02 00:30,11506.236,8990.505,0.000,0.000
2024-08-02 00:45,11506.267,8990.505,0.000,0.000
2024-08-02 01:00,11506.315,8990.505,0.000,0.000
2024-08-02 01:15,11506.349,8990.505,0.000,0.000
2024-08-02 01:30,11506.370,8990.505,0.000,0.000
2024-08-02 01:45,11506.396,8990.505,0.000,0.000
2024-08-02 02:00,11506.433,8990.505,0.000,0.000
2024-08-02 02:15,11506.451,8990.505,0.000,0.000
2024-08-02 02:30,11506.469,8990.505,0.000,0.000
2024-08-02 02:45,11506.503,8990.505,0.000,0.000
2024-08-02 03:00,11506.547,8990.505,0.000,0.000
2024-08-02 03:15,11506.575,8990.505,0.000,0.000
2024-08-02 03:30,11506.603,8990.505,0.000,0.000
2024-08-02 03:45,11506.648,8990.505,0.000,0.000
2024-08-02 04:00,11506.677,8990.505,0.000,0.000
2024-08-02 04:15,11506.695,8990.505,0.000,0.000
2024-08-02 04:30,11506.717,8990.505,0.000,0.000
2024-08-02 04:45,11506.752,8990.505,0.000,0.000
2024-08-02 05:00,11506.774,8990.505,0.000,0.000
2024-08-02 05:15,11506.798,8990.505,0.000,0.000
2024-08-02 05:30,11506.838,8990.505,0.000,0.000
2024-08-02 05:45,11506.883,8990.505,0.000,0.000
2024-08-02 06:00,11506.911,8990.505,0.000,0.000
2024-08-02 06:15,11506.935,8990.505,0.000,0.000
2024-08-02 06:30,11506.966,8990.505,0.000,0.000
2024-08-02 06:45,11506.997,8990.505,0.000,0.000
2024-08-02 07:00,11507.014,8990.505,0.000,0.000
2024-08-02 07:15,11507.014,8990.523,0.000,0.000
2024-08-02 07:30,11507.014,8990.558,0.000,0.000
2024-08-02 07:45,11507.014,8990.598,0.000,0.000
2024-08-02 08:00,11507.014,8990.625,0.000,0.000
2024-08-02 08:15,11507.014,8990.660,0.000,0.000
2024-08-02 08:30,11507.014,8990.708,0.000,0.000
2024-08-02 08:45,11507.014,8990.735,0.000,0.000
2024-08-02 09:00,11507.014,8990.755,0.000,0.000
2024-08-02 09:15,11507.014,8990.782,0.000,0.000
