time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2025-01-01 00:00,12394.105,9721.371,0.000,0.000
2025-01-01 00:15,12394.470,9721.371,0.000,0.000
2025-01-01 00:30,12394.574,9721.371,0.000,0.000
2025-01-01 00:45,12394.655,9721.371,0.000,0.000
2025-01-01 01:00,12394.843,9721.371,0.000,0.000
2025-01-01 01:15,12395.089,9721.371,0.000,0.000
2025-01-01 01:30,12395.172,9721.371,0.000,0.000
2025-01-01 01:45,12395.260,9721.371,0.000,0.000
2025-01-01 02:00,12395.315,9721.371,0.000,0.000
2025-01-01 02:15,12395.369,9721.371,0.000,0.000
2025-01-01 02:30,12395.515,9721.371,0.000,0.000
2025-01-01 02:45,12395.587,9721.371,0.000,0.000
2025-01-01 03:00,12395.640,9721.371,0.000,0.000
2025-01-01 03:15,12395.690,9721.371,0.000,0.000
2025-01-01 03:30,12395.742,9721.371,0.000,0.000
2025-01-01 03:45,12395.819,9721.371,0.000,0.000
2025-01-01 04:00,12395.966,9721.371,0.000,0.000
2025-01-01 04:15,12396.024,9721.371,0.000,0.000
2025-01-01 04:30,12396.068,9721.371,0.000,0.000
2025-01-01 04:45,12396.122,9721.371,0.000,0.000
2025-01-01 05:00,12396.177,9721.371,0.000,0.000
2025-01-01 05:15,12396.219,9721.371,0.000,0.000
2025-01-01 05:30,12396.352,9721.371,0.000,0.000
2025-01-01 05:45,12396.404,9721.371,0.000,0.000
2025-01-01 06:00,12396.480,9721.371,0.000,0.000
2025-01-01 06:15,12396.555,9721.371,0.000,0.000
2025-01-01 06:30,12396.612,9721.371,0.000,0.000
2025-01-01 06:45,12396.671,9721.371,0.000,0.000
2025-01-01 07:00,12396.810,9721.371,0.000,0.000
2025-01-01 07:15,12396.869,9721.371,0.000,0.000
2025-01-01 07:30,12396.917,9721.371,0.000,0.000
2025-01-01 07:45,12396.976,9721.371,0.000,0.000
2025-01-01 08:00,12397.035,9721.371,0.000,0.000
2025-01-01 08:15,12397.101,9721.371,0.000,0.000
2025-01-01 08:30,12397.151,9721.371,0.000,0.000
2025-01-01 08:45,12397.299,9721.371,0.000,0.000
2025-01-01 09:00,12397.365,9721.371,0.000,0.000
2025-01-01 09:15,12397.446,9721.371,0.000,0.000
2025-01-01 09:30,12397.644,9721.371,0.000,0.000
2025-01-01 09:45,12397.733,9721.371,0.000,0.000
2025-01-01 10:00,12398.174,9721.371,0.000,0.000
2025-01-01 10:15,12398.307,9721.371,0.000,0.000
2025-01-01 10:30,12398.375,9721.371,0.000,0.000
2025-01-01 10:45,12398.462,9721.371,0.000,0.000
2025-01-01 11:00,12398.622,9721.371,0.000,0.000
2025-01-01 11:15,12398.702,9721.371,0.000,0.000
2025-01-01 11:30,12398.845,9721.371,0.000,0.000
2025-01-01 11:45,12398.916,9721.371,0.000,0.000
2025-01-01 12:00,12398.995,9721.371,0.000,0.000
2025-01-01 12:15,12399.136,9721.371,0.000,0.000
2025-01-01 12:30,12399.592,9721.371,0.000,0.000
2025-01-01 12:45,12399.890,9721.371,0.000,0.000
2025-01-01 13:00,12400.019,9721.371,0.000,0.000
2025-01-01 13:15,12400.183,9721.371,0.000,0.000
2025-01-01 13:30,12400.373,9721.371,0.000,0.000
2025-01-01 13:45,12400.462,9721.371,0.000,0.000
2025-01-01 14:00,12400.529,9721.371,0.000,0.000
2025-01-01 14:15,12400.696,9721.371,0.000,0.000
2025-01-01 14:30,12401.076,9721.371,0.000,0.000
2025-01-01 14:45,12401.759,9721.371,0.000,0.000
2025-01-01 15:00,12401.862,9721.371,0.000,0.000
2025-01-01 15:15,12401.944,9721.371,0.000,0.000
2025-01-01 15:30,12402.025,9721.371,0.000,0.000
2025-01-01 15:45,12402.123,9721.371,0.000,0.000
2025-01-01 16:00,12402.349,9721.371,0.000,0.000
2025-01-01 16:15,12402.447,9721.371,0.000,0.000
2025-01-01 16:30,12402.541,9721.371,0.000,0.000
2025-01-01 16:45,12402.660,9721.371,0.000,0.000
2025-01-01 17:00,12403.005,9721.371,0.000,0.000
2025-01-01 17:15,12403.150,9721.371,0.000,0.000
2025-01-01 17:30,12403.475,9721.371,0.000,0.000
2025-01-01 17:45,12403.808,9721.371,0.000,0.000
2025-01-01 18:00,12404.525,9721.371,0.000,0.000
2025-01-01 18:15,12405.447,9721.371,0.000,0.000
2025-01-01 18:30,12406.039,9721.371,0.000,0.000
2025-01-01 18:45,12406.908,9721.371,0.000,0.000
2025-01-01 19:00,12407.468,9721.371,0.000,0.000
2025-01-01 19:15,12407.605,9721.371,0.000,0.000
2025-01-01 19:30,12407.924,9721.371,0.000,0.000
2025-01-01 19:45,12408.304,9721.371,0.000,0.000
2025-01-01 20:00,12408.471,9721.371,0.000,0.000
2025-01-01 20:15,12408.957,9721.371,0.000,0.000
2025-01-01 20:30,12409.281,9721.371,0.000,0.000
2025-01-01 20:45,12409.445,9721.371,0.000,0.000
2025-01-01 21:00,12409.541,9721.371,0.000,0.000
2025-01-01 21:15,12409.647,9721.371,0.000,0.000
2025-01-01 21:30,12409.793,9721.371,0.000,0.000
2025-01-01 21:45,12409.901,9721.371,0.000,0.000
2025-01-01 22:00,12410.008,9721.371,0.000,0.000
2025-01-01 22:15,12410.150,9721.371,0.000,0.000
2025-01-01 22:30,12410.283,9721.371,0.000,0.000
2025-01-01 22:45,12410.622,9721.371,0.000,0.000
2025-01-01 23:00,12410.694,9721.371,0.000,0.000
2025-01-01 23:15,12410.830,9721.371,0.000,0.000
2025-01-01 23:30,12410.951,9721.371,0.000,0.000
2025-01-01 23:45,12411.081,9721.371,0.000,0.000
2025-01-02 00:00,12411.197,9721.371,0.000,0.000
2025-01-02 00:15,12411.274,9721.371,0.000,0.000
2025-01-02 00:30,12411.397,9721.371,0.000,0.000
2025-01-02 00:45,12411.466,9721.371,0.000,0.000
2025-01-02 01:00,12411.515,9721.371,0.000,0.000
2025-01-02 01:15,12411.572,9721.371,0.000,0.000
2025-01-02 01:30,12411.642,9721.371,0.000,0.000
2025-01-02 01:45,12411.712,9721.371,0.000,0.000
2025-01-02 02:00,12411.771,9721.371,0.000,0.000
2025-01-02 02:15,12411.859,9721.371,0.000,0.000
2025-01-02 02:30,12411.971,9721.371,0.000,0.000
2025-01-02 02:45,12412.035,9721.371,0.000,0.000
2025-01-02 03:00,12412.077,9721.371,0.000,0.000
2025-01-02 03:15,12412.123,9721.371,0.000,0.000
2025-01-02 03:30,12412.169,9721.371,0.000,0.000
2025-01-02 03:45,12412.240,9721.371,0.000,0.000
2025-01-02 04:00,12412.372,9721.371,0.000,0.000
2025-01-02 04:15,12412.426,9721.371,0.000,0.000
2025-01-02 04:30,12412.471,9721.371,0.000,0.000
2025-01-02 04:45,12412.530,9721.371,0.000,0.000
2025-01-02 05:00,12412.579,9721.371,0.000,0.000
2025-01-02 05:15,12412.700,9721.371,0.000,0.000
2025-01-02 05:30,12412.743,9721.371,0.000,0.000
2025-01-02 05:45,12412.797,9721.371,0.000,0.000
2025-01-02 06:00,12412.853,9721.371,0.000,0.000
2025-01-02 06:15,12412.905,9721.371,0.000,0.000
2025-01-02 06:30,12412.961,9721.371,0.000,0.000
2025-01-02 06:45,12413.063,9721.371,0.000,0.000
2025-01-02 07:00,12413.179,9721.371,0.000,0.000
2025-01-02 07:15,12413.179,9721.441,0.000,0.000
2025-01-02 07:30,12413.179,9721.711,0.000,0.000
2025-01-02 07:45,12413.179,9721.833,0.000,0.000
2025-01-02 08:00,12413.179,9721.931,0.000,0.000
2025-01-02 08:15,12413.179,9722.205,0.000,0.000
2025-01-02 08:30,12413.179,9722.272,0.000,0.000
2025-01-02 08:45,12413.179,9722.328,0.000,0.000
2025-01-02 09:00,12413.179,9722.393,0.000,0.000
2025-01-02 09:15,12413.179,9722.455,0.000,0.000
2025-01-02 09:30,12413.179,9722.500,0.000,0.000
2025-01-02 09:45,12413.179,9722.664,0.000,0.000
2025-01-02 10:00,12413.179,9722.711,0.000,0.000
2025-01-02 10:15,12413.179,9722.778,0.000,0.000
2025-01-02 10:30,12413.179,9722.909,0.000,0.000
2025-01-02 10:45,12413.179,9722.960,0.000,0.000
2025-01-02 11:00,12413.179,9723.014,0.000,0.000
2025-01-02 11:15,12413.179,9723.098,0.000,0.000
2025-01-02 11:30,12413.179,9723.186,0.000,0.000
2025-01-02 11:45,12413.179,9723.315,0.000,0.000
2025-01-02 12:00,12413.179,9723.432,0.000,0.000
2025-01-02 12:15,12413.179,9723.491,0.000,0.000
2025-01-02 12:30,12413.179,9723.553,0.000,0.000
2025-01-02 12:45,12413.179,9723.682,0.000,0.000
2025-01-02 13:00,12413.179,9723.805,0.000,0.000
2025-01-02 13:15,12413.179,9723.937,0.000,0.000
2025-01-02 13:30,12413.179,9724.092,0.000,0.000
2025-01-02 13:45,12413.179,9724.331,0.000,0.000
2025-01-02 14:00,12413.179,9724.400,0.000,0.000
2025-01-02 14:15,12413.179,9725.060,0.000,0.000
2025-01-02 14:30,12413.179,9725.359,0.000,0.000
2025-01-02 14:45,12413.179,9725.769,0.000,0.000
2025-01-02 15:00,12413.179,9726.212,0.000,0.000
2025-01-02 15:15,12413.179,9726.362,0.000,0.000
2025-01-02 15:30,12413.179,9726.504,0.000,0.000
2025-01-02 15:45,12413.179,9726.680,0.000,0.000
2025-01-02 16:00,12413.179,9726.854,0.000,0.000
2025-01-02 16:15,12413.179,9726.936,0.000,0.000
2025-01-02 16:30,12413.179,9727.543,0.000,0.000
2025-01-02 16:45,12413.179,9727.920,0.000,0.000
2025-01-02 17:00,12413.179,9728.021,0.000,0.000
2025-01-02 17:15,12413.179,9728.125,0.000,0.000
2025-01-02 17:30,12413.179,9728.334,0.000,0.000
2025-01-02 17:45,12413.179,9728.580,0.000,0.000
2025-01-02 18:00,12413.179,9728.689,0.000,0.000
2025-01-02 18:15,12413.179,9728.785,0.000,0.000
2025-01-02 18:30,12413.179,9728.869,0.000,0.000
2025-01-02 18:45,12413.179,9729.031,0.000,0.000
2025-01-02 19:00,12413.179,9729.655,0.000,0.000
2025-01-02 19:15,12413.179,9730.067,0.000,0.000
2025-01-02 19:30,12413.179,9730.640,0.000,0.000
2025-01-02 19:45,12413.179,9731.311,0.000,0.000
2025-01-02 20:00,12413.179,9731.623,0.000,0.000
2025-01-02 20:15,12413.179,9731.937,0.000,0.000
2025-01-02 20:30,12413.179,9732.158,0.000,0.000
2025-01-02 20:45,12413.179,9732.372,0.000,0.000
2025-01-02 21:00,12413.179,9732.455,0.000,0.000
2025-01-02 21:15,12413.258,9732.455,0.000,0.000
2025-01-02 21:30,12413.328,9732.455,0.000,0.000
2025-01-02 21:45,12413.383,9732.455,0.000,0.000
2025-01-02 22:00,12413.669,9732.455,0.000,0.000
2025-01-02 22:15,12413.757,9732.455,0.000,0.000
2025-01-02 22:30,12413.855,9732.455,0.000,0.000
2025-01-02 22:45,12414.003,9732.455,0.000,0.000
2025-01-02 23:00,12414.074,9732.455,0.000,0.000
2025-01-02 23:15,12414.227,9732.455,0.000,0.000
2025-01-02 23:30,12414.319,9732.455,0.000,0.000
2025-01-02 23:45,12414.489,9732.455,0.000,0.000
2025-01-03 00:00,12414.560,9732.455,0.000,0.000
2025-01-03 00:15,12414.703,9732.455,0.000,0.000
2025-01-03 00:30,12414.799,9732.455,0.000,0.000
2025-01-03 00:45,12414.908,9732.455,0.000,0.000
2025-01-03 01:00,12414.990,9732.455,0.000,0.000
2025-01-03 01:15,12415.103,9732.455,0.000,0.000
2025-01-03 01:30,12415.182,9732.455,0.000,0.000
2025-01-03 01:45,12415.272,9732.455,0.000,0.000
2025-01-03 02:00,12415.339,9732.455,0.000,0.000
2025-01-03 02:15,12415.443,9732.455,0.000,0.000
2025-01-03 02:30,12415.524,9732.455,0.000,0.000
2025-01-03 02:45,12415.587,9732.455,0.000,0.000
2025-01-03 03:00,12415.641,9732.455,0.000,0.000
2025-01-03 03:15,12415.694,9732.455,0.000,0.000
2025-01-03 03:30,12415.745,9732.455,0.000,0.000
2025-01-03 03:45,12415.805,9732.455,0.000,0.000
2025-01-03 04:00,12415.934,9732.455,0.000,0.000
2025-01-03 04:15,12415.978,9732.455,0.000,0.000
2025-01-03 04:30,12416.019,9732.455,0.000,0.000
2025-01-03 04:45,12416.070,9732.455,0.000,0.000
2025-01-03 05:00,12416.127,9732.455,0.000,0.000
2025-01-03 05:15,12416.252,9732.455,0.000,0.000
2025-01-03 05:30,12416.310,9732.455,0.000,0.000
2025-01-03 05:45,12416.367,9732.455,0.000,0.000
2025-01-03 06:00,12416.440,9732.455,0.000,0.000
2025-01-03 06:15,12416.500,9732.455,0.000,0.000
2025-01-03 06:30,12416.542,9732.455,0.000,0.000
2025-01-03 06:45,12416.626,9732.455,0.000,0.000
2025-01-03 07:00,12416.716,9732.456,0.000,0.000
2025-01-03 07:15,12416.716,9732.516,0.000,0.000
2025-01-03 07:30,12416.716,9732.563,0.000,0.000
2025-01-03 07:45,12416.716,9732.616,0.000,0.000
2025-01-03 08:00,12416.716,9732.673,0.000,0.000
2025-01-03 08:15,12416.716,9732.856,0.000,0.000
2025-01-03 08:30,12416.716,9732.955,0.000,0.000
2025-01-03 08:45,12416.716,9733.183,0.000,0.000
2025-01-03 09:00,12416.716,9733.294,0.000,0.000
2025-01-03 09:15,12416.716,9733.420,0.000,0.000
2025-01-03 09:30,12416.716,9733.613,0.000,0.000
2025-01-03 09:45,12416.716,9733.685,0.000,0.000
2025-01-03 10:00,12416.716,9733.751,0.000,0.000
2025-01-03 10:15,12416.716,9733.833,0.000,0.000
2025-01-03 10:30,12416.716,9734.046,0.000,0.000
2025-01-03 10:45,12416.716,9734.125,0.000,0.000
2025-01-03 11:00,12416.716,9734.198,0.000,0.000
2025-01-03 11:15,12416.716,9734.326,0.000,0.000
2025-01-03 11:30,12416.716,9734.409,0.000,0.000
2025-01-03 11:45,12416.716,9734.473,0.000,0.000
2025-01-03 12:00,12416.716,9734.933,0.000,0.000
2025-01-03 12:15,12416.716,9734.997,0.000,0.000
2025-01-03 12:30,12416.716,9735.159,0.000,0.000
2025-01-03 12:45,12416.716,9735.271,0.000,0.000
2025-01-03 13:00,12416.716,9735.351,0.000,0.000
2025-01-03 13:15,12416.716,9735.434,0.000,0.000
2025-01-03 13:30,12416.716,9735.518,0.000,0.000
2025-01-03 13:45,12416.716,9735.637,0.000,0.000
2025-01-03 14:00,12416.716,9735.707,0.000,0.000
2025-01-03 14:15,12416.716,9735.817,0.000,0.000
2025-01-03 14:30,12416.716,9735.865,0.000,0.000
2025-01-03 14:45,12416.716,9736.017,0.000,0.000
2025-01-03 15:00,12416.716,9736.234,0.000,0.000
2025-01-03 15:15,12416.716,9736.483,0.000,0.000
2025-01-03 15:30,12416.716,9736.818,0.000,0.000
2025-01-03 15:45,12416.716,9737.615,0.000,0.000
2025-01-03 16:00,12416.716,9737.920,0.000,0.000
2025-01-03 16:15,12416.716,9738.425,0.000,0.000
2025-01-03 16:30,12416.716,9738.711,0.000,0.000
2025-01-03 16:45,12416.716,9738.987,0.000,0.000
2025-01-03 17:00,12416.716,9739.081,0.000,0.000
2025-01-03 17:15,12416.716,9739.244,0.000,0.000
2025-01-03 17:30,12416.716,9740.023,0.000,0.000
2025-01-03 17:45,12416.716,9740.375,0.000,0.000
2025-01-03 18:00,12416.716,9740.840,0.000,0.000
2025-01-03 18:15,12416.716,9741.150,0.000,0.000
2025-01-03 18:30,12416.716,9741.410,0.000,0.000
2025-01-03 18:45,12416.716,9741.704,0.000,0.000
2025-01-03 19:00,12416.716,9741.881,0.000,0.000
2025-01-03 19:15,12416.716,9742.026,0.000,0.000
2025-01-03 19:30,12416.716,9742.186,0.000,0.000
2025-01-03 19:45,12416.716,9742.582,0.000,0.000
2025-01-03 20:00,12416.716,9742.697,0.000,0.000
2025-01-03 20:15,12416.716,9743.259,0.000,0.000
2025-01-03 20:30,12416.716,9743.755,0.000,0.000
2025-01-03 20:45,12416.716,9743.940,0.000,0.000
2025-01-03 21:00,12416.717,9744.061,0.000,0.000
2025-01-03 21:15,12416.874,9744.061,0.000,0.000
2025-01-03 21:30,12417.184,9744.061,0.000,0.000
2025-01-03 21:45,12417.317,9744.061,0.000,0.000
2025-01-03 22:00,12417.590,9744.061,0.000,0.000
2025-01-03 22:15,12417.684,9744.061,0.000,0.000
2025-01-03 22:30,12417.863,9744.061,0.000,0.000
2025-01-03 22:45,12417.966,9744.061,0.000,0.000
2025-01-03 23:00,12418.118,9744.061,0.000,0.000
2025-01-03 23:15,12418.195,9744.061,0.000,0.000
2025-01-03 23:30,12418.322,9744.061,0.000,0.000
2025-01-03 23:45,12418.480,9744.061,0.000,0.000
2025-01-04 00:00,12418.529,9744.061,0.000,0.000
2025-01-04 00:15,12418.573,9744.061,0.000,0.000
2025-01-04 00:30,12418.622,9744.061,0.000,0.000
2025-01-04 00:45,12418.708,9744.061,0.000,0.000
2025-01-04 01:00,12418.759,9744.061,0.000,0.000
2025-01-04 01:15,12418.809,9744.061,0.000,0.000
2025-01-04 01:30,12418.855,9744.061,0.000,0.000
2025-01-04 01:45,12418.999,9744.061,0.000,0.000
2025-01-04 02:00,12419.056,9744.061,0.000,0.000
2025-01-04 02:15,12419.114,9744.061,0.000,0.000
2025-01-04 02:30,12419.165,9744.061,0.000,0.000
2025-01-04 02:45,12419.224,9744.061,0.000,0.000
2025-01-04 03:00,12419.291,9744.061,0.000,0.000
2025-01-04 03:15,12419.416,9744.061,0.000,0.000
2025-01-04 03:30,12419.458,9744.061,0.000,0.000
2025-01-04 03:45,12419.504,9744.061,0.000,0.000
2025-01-04 04:00,12419.564,9744.061,0.000,0.000
2025-01-04 04:15,12419.613,9744.061,0.000,0.000
2025-01-04 04:30,12419.654,9744.061,0.000,0.000
2025-01-04 04:45,12419.786,9744.061,0.000,0.000
2025-01-04 05:00,12419.860,9744.061,0.000,0.000
2025-01-04 05:15,12419.957,9744.061,0.000,0.000
2025-01-04 05:30,12420.183,9744.061,0.000,0.000
2025-01-04 05:45,12420.298,9744.061,0.000,0.000
2025-01-04 06:00,12420.409,9744.061,0.000,0.000
2025-01-04 06:15,12420.955,9744.061,0.000,0.000
2025-01-04 06:30,12421.178,9744.061,0.000,0.000
2025-01-04 06:45,12421.579,9744.061,0.000,0.000
2025-01-04 07:00,12421.694,9744.061,0.000,0.000
2025-01-04 07:15,12421.764,9744.061,0.000,0.000
2025-01-04 07:30,12421.837,9744.061,0.000,0.000
2025-01-04 07:45,12422.180,9744.061,0.000,0.000
2025-01-04 08:00,12422.234,9744.061,0.000,0.000
2025-01-04 08:15,12422.282,9744.061,0.000,0.000
2025-01-04 08:30,12422.342,9744.061,0.000,0.000
2025-01-04 08:45,12422.396,9744.061,0.000,0.000
2025-01-04 09:00,12422.446,9744.061,0.000,0.000
